X,Y,Z
-0.064453,0.009521,0.976318
-0.067871,0.009766,0.968994
-0.070068,0.009033,0.977295
-0.059814,0.009521,0.963867
-0.063721,0.008301,0.980469
-0.063232,0.007812,0.973145
-0.065186,0.012695,0.9729
-0.249512,0.059326,0.929932
-0.038818,-0.087646,0.714111
-0.08374,0.032227,0.934326
-0.071045,0.174072,1.019531
-0.033691,0.133057,0.951416
0.023193,0.050293,1.078369
0.190674,-0.137939,0.96582
-0.002441,-0.095703,1.05835
-0.097168,-0.138672,0.949463
-0.039062,-0.148926,1.005615
-0.142334,-0.05542,0.832031
-0.281738,0.268555,0.977051
-0.061035,0.114502,0.955322
0.005859,0.013428,0.896973
0.017822,0.048828,0.932373
-0.04834,0.068604,1.087646
-0.04126,0.003906,0.959473
-0.10083,-0.048096,0.992188
-0.174561,-0.039062,1.119629
-0.180176,0.012939,1.011963
-0.069824,0.005859,0.978271
-0.06665,0.009277,0.97998
-0.06543,0.009277,0.975586
-0.068604,0.008301,0.974609
-0.063477,0.009277,0.976074
-0.06958,0.011963,0.976807
-0.065186,0.009033,0.97876
-0.0625,0.012939,0.980957
-0.062256,0.010498,0.969727
-0.13623,-0.013672,0.981934
-0.118652,-0.029785,0.786133
-0.121582,-0.019775,1.016357
-0.125,0.095947,1.067139
-0.095215,0.053711,0.917969
-0.12793,0.151367,1.115967
-0.040771,0.108643,1.118408
-0.15625,0.016602,1.007812
0.005371,0.217285,1.053711
-0.020752,-0.037598,1.011719
0.095947,-0.094482,1.041748
-0.065186,-0.068604,0.796143
-0.016602,-0.072754,1.034912
0.061035,-0.056152,0.828857
-0.292725,0.249512,1.005127
-0.070068,0.121826,0.987305
0.004395,0.0625,0.918945
-0.077393,0.069336,1.154785
-0.012207,-0.039062,1.0
-0.05835,-0.036133,0.992188
-0.168701,-0.055664,1.061768
-0.213135,-0.030518,0.945801
-0.06543,0.004883,0.976807
-0.065918,0.011475,0.973877
-0.06665,0.006836,0.977051
-0.064941,0.008057,0.97876
-0.062256,0.013672,0.979736
-0.067627,0.00708,0.97583
-0.064453,0.009277,0.981445
-0.060547,0.012451,0.968994
-0.121826,0.101318,0.932861
-0.19043,0.065674,0.991943
-0.046387,-0.010498,0.824951
-0.098877,0.017334,0.936279
-0.130615,0.091553,1.044189
-0.019043,0.119385,1.074463
0.096924,0.119141,0.934814
0.023438,-0.013428,1.038818
-0.020996,-0.115479,1.047363
-0.000732,-0.152344,0.998535
0.044189,-0.093262,0.935791
-0.065674,-0.087646,0.935303
-0.009033,-0.002686,0.927002
-0.18042,0.184326,1.022705
-0.070801,0.008301,0.979492
-0.04834,0.072754,0.968262
-0.052002,0.095459,1.083984
-0.000732,0.041748,0.928955
0.018066,-0.041748,0.912354
-0.079834,-0.010498,0.969238
-0.188232,-0.040527,0.963379
-0.120117,-0.026611,0.965576
-0.067627,0.006348,0.977295
-0.067627,0.007812,0.983154
-0.064697,0.005615,0.973145
-0.068115,0.008789,0.974365
-0.067139,0.009277,0.98584
-0.065186,0.012939,0.986328
-0.062256,0.007568,0.976562
-0.063721,0.012451,0.962402
-0.127686,0.099121,0.993896
-0.136475,0.034424,0.983154
-0.057373,0.013672,0.714844
-0.039551,0.119141,1.068359
-0.184082,0.102539,0.992432
0.008301,0.085449,1.042725
0.031738,0.036865,0.989014
0.032715,-0.005859,1.022217
0.042236,-0.085938,0.946045
-0.004639,-0.122803,1.054688
-0.107666,-0.098877,1.197266
-0.107422,-0.041016,1.100586
-0.089355,-0.022949,0.925537
-0.200928,0.250244,0.991943
-0.041992,0.078125,0.983643
-0.025635,0.030518,1.010742
0.007568,0.020508,0.94751
-0.044189,0.001221,1.04126
-0.064209,-0.02832,0.990234
-0.099365,-0.028564,0.944824
-0.186279,-0.036621,1.023926
-0.065918,0.007568,0.977051
-0.06665,0.006836,0.978271
-0.061768,0.008057,0.980957
-0.064209,0.005127,0.977295
-0.063965,0.008789,0.970459
-0.067871,0.010254,0.980469
-0.066406,0.010986,0.984131
-0.061768,0.010742,0.979248
-0.101318,0.015625,0.940674
-0.156494,0.003174,0.938232
-0.178711,-0.013916,1.003174
-0.164307,0.066162,1.048828
-0.042969,0.060059,0.989014
