X,Y,Z
-0.061768,0.00708,0.970703
-0.064453,0.008545,0.980469
-0.063232,0.011963,0.981689
-0.060547,-0.15332,0.979248
0.004883,-0.033203,0.977539
0.047852,0.012939,1.00415
-0.056885,-0.012451,1.013428
0.023438,0.01001,0.931152
-0.418701,0.114502,0.901123
-0.05957,0.007568,0.969971
-0.325928,0.2146,0.967773
-0.014648,0.013184,0.924561
0.199951,0.069824,0.984131
0.186035,-0.017578,0.911621
0.248779,0.064697,1.107666
0.134521,-0.009033,0.953857
0.159912,0.044434,0.975098
-0.118408,-0.017822,1.01709
-0.326416,-0.022217,1.055176
-0.06665,0.007324,0.981445
-0.334961,0.050781,0.844971
0.077393,0.06958,0.989014
-0.129883,0.179932,1.086426
0.232178,0.19043,0.943604
0.050537,-0.130615,1.051514
0.090332,-0.013916,1.045166
0.195312,-0.019287,1.058105
-0.147461,-0.027588,1.091064
-0.304688,-0.026855,0.943604
-0.29126,-0.082764,0.916992
-0.063721,0.005615,0.979492
-0.063721,0.011719,0.976807
-0.061768,0.006592,0.981201
0.043457,0.055664,0.951172
0.120117,0.002441,0.961182
0.054443,0.075928,0.94458
-0.13623,0.083252,0.99585
-0.35083,-0.023438,0.980469
-0.061523,0.010498,0.969482
-0.346436,0.150146,0.830811
-0.391602,0.135986,0.915039
0.118408,-0.053955,1.052246
0.348633,0.151855,1.065186
0.275879,0.01416,1.024658
0.177246,-0.009277,0.892334
0.019775,-0.022705,0.995117
-0.111572,0.066162,0.9729
-0.307861,-0.059326,0.98291
-0.062988,0.005127,0.984131
-0.243896,-0.012695,0.9104
-0.087158,0.179932,1.061035
-0.207764,0.078857,1.060547
0.064697,0.005615,1.026123
0.261719,-0.074219,0.890137
0.044922,-0.05249,1.002197
-0.055664,0.023193,1.014404
-0.107178,0.071777,1.060791
-0.256104,-0.015381,1.029297
-0.137695,-0.006348,0.975098
-0.062988,0.009277,0.975098
-0.06665,0.006836,0.980713
-0.060303,0.008789,0.982666
-0.068848,-0.094238,0.735352
-0.059082,0.066406,0.97998
0.064941,0.041016,1.065186
0.318115,-0.015869,0.916016
-0.203613,0.048584,0.948975
-0.368408,0.046387,1.048584
-0.280029,0.001709,0.970459
-0.45874,0.144043,0.975098
-0.198242,0.050537,0.973145
-0.027832,-0.068604,1.181152
0.233154,0.057861,0.999268
0.210938,-0.193848,0.924316
-0.014404,-0.048096,0.981689
-0.03418,0.012939,1.002686
-0.019287,0.009277,0.990967
-0.485107,0.026855,1.03833
-0.006836,0.094482,0.95874
0.172119,0.097656,0.861084
-0.10791,-0.068115,0.910645
-0.046143,0.078125,1.065186
0.086182,-0.081055,1.075928
0.138428,-0.115967,0.813965
0.0979,0.009277,1.001953
0.108154,0.020752,0.967773
0.031494,0.081787,0.960449
-0.049805,-0.037109,0.934326
-0.261719,0.012451,0.964844
-0.19751,-0.030273,0.958008
-0.063965,0.007812,0.969971
-0.0625,0.009521,0.978516
-0.067383,0.008789,0.979736
0.086426,0.00415,0.970215
0.062012,0.038574,1.068359
-0.017578,-0.090576,0.915527
0.012207,0.029785,0.953125
-0.023193,0.027344,0.976807
-0.305908,0.018311,0.988037
-0.176514,0.094238,0.973877
-0.25293,0.112061,1.118896
-0.236084,-0.036377,0.92749
0.092773,0.172363,0.99585
0.337402,0.085205,1.018066
0.202637,-0.023193,0.941895
0.052734,-0.010254,1.045166
-0.143066,-0.036133,1.000488
-0.354004,-0.024414,1.003174
-0.064697,0.005615,0.97998
-0.230713,0.171387,1.137695
-0.075684,0.007568,0.968018
-0.001953,0.05542,1.034912
